カテゴリ,分野,単語,説明,午後記述での使用例,使用理由／文脈,試験区分,出題確率（推定）,シラバス改定有無,改定の意図・影響, 〇×結果
業務・システム構造,EA,EA（エンタープライズアーキテクチャ）,組織の業務、情報、技術、システム資源を全体的に構造化・整理するための体系的な枠組み,EAに基づき、現行業務とIT資源の整合性を検証した,構造的分析／技術導入と業務整合／資源最適化,午後／記述,高（毎年1回以上）,Ver.7.1で維持,用語明確化,
業務・システム構造,EA,As-Isモデル,現状の業務・システム構造を記述したモデル,As-Isモデルに基づき問題点を抽出した,業務分析／問題抽出／現状評価,午後,中（2年に1回程度）,Ver.7.1で維持,文脈重視,
業務・システム構造,EA,To-Beモデル,将来理想状態の業務・IT構造を示すEA内の構成要素,To-Beモデルを参照し改善提案を行った,改善計画／理想構造設計／業務最適化,午後,中（2年に1回程度）,Ver.7.1で維持,文脈重視,
業務・システム構造,EA,ギャップ分析,As-IsとTo-Beの差分を比較し課題を抽出する分析手法,ギャップ分析により未整備領域を特定した,構造比較／課題抽出／改善支援,午後,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
業務・システム構造,EA,BPR,Business Process Reengineering：業務再構築を目的としたEA手法の一部,EAの観点からBPRを推進した,業務再編／情報整理／最適化設計,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
業務・システム構造,EA,アーキテクチャビュー,業務・情報・技術・システムに分かれたEA内の視点分類,業務アーキテクチャと技術アーキテクチャを整理した,EA構成／構造視点／分類整備,午後,中（2年に1回程度）,Ver.7.1で維持,用語明確化,
業務・システム構造,EA体系分類,業務体系,EAにおける業務の目的・流れ・役割などの構造的記述,業務体系を基に機能要求の整合性を確認した,業務設計／要件定義／組織機能整理,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
業務・システム構造,EA体系分類,情報体系,業務プロセスに必要な情報内容・流れ・処理方法を記述した構造,情報体系を整理し、必要なデータ項目を抽出した,データ設計／帳票構造／業務連携,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
業務・システム構造,EA体系分類,データ体系,情報体系に基づいて整理されたDB構成・属性・関係性の構造,データ体系を整備し、正規化を実施した,DB構造整理／正規化／業務連動,午後／記述,高（毎年1回以上）,Ver.7.1で維持,用語明確化,
業務・システム構造,EA体系分類,技術体系,業務・情報・データを支えるIT基盤やミドルウェアなどの技術的構造,技術体系と業務体系の間に整合性を持たせた,基盤設計／技術選定／EA整合性,午後／記述,中（2年に1回程度）,Ver.7.1で維持,文脈重視,
業務改善,業務プロセス,ECRS,業務改善の4原則（排除・結合・再配置・簡素化）を順に適用する思考法,帳票の統合や不要業務の廃止などの改善提案,業務のムダを構造的に排除するための基本原則,ストラテジ系,中（頻度は低いが文脈理解で重要）,Ver.7.1で強調,文脈重視,
業務改善,業務プロセス,Eliminate,不要な業務や工程を排除する,不要な帳票の廃止,作業時間の短縮と人的負荷の軽減,ストラテジ系,中（文脈理解で頻出）,Ver.7.1で強調,文脈重視,
業務改善,業務プロセス,Combine,類似業務や工程を統合する,複数会議の統合,意思決定の迅速化と情報共有の効率化,ストラテジ系,中（文脈理解で頻出）,Ver.7.1で強調,文脈重視,
業務改善,業務プロセス,Rearrange,作業順序や担当を再配置する,出力順の見直しや担当変更,ピーク時間の分散と業務負荷の均等化,ストラテジ系,中（文脈理解で頻出）,Ver.7.1で強調,文脈重視,
業務改善,業務プロセス,Simplify,業務を単純化・標準化する,手順書の整備や属人化の排除,教育コストの削減と品質の安定化,ストラテジ系,中（文脈理解で頻出）,Ver.7.1で強調,文脈重視,
情報セキュリティ,セキュリティ管理,IDEALモデル,組織のプロセス改善を段階的に進めるための5ステップモデル,情報セキュリティ体制の改善プロセスをIDEALモデルに沿って記述した,改善活動の構造化／継続的改善／PDCAとの比較,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,文脈重視,
情報セキュリティ,セキュリティ管理,Initiating（開始）,改善活動の目的や体制を整備し.関係者の合意形成を図る段階,セキュリティ改善の目的と推進体制を明記した,改善の出発点／関係者の認識統一,午後,中,Ver.7.1で維持,語句明示,
情報セキュリティ,セキュリティ管理,Diagnosing（診断）,現状の業務やセキュリティ体制を分析し.課題を抽出する段階,現状分析により脆弱性や運用上の問題点を特定した,課題抽出／現状評価／改善根拠の明確化,午後,中,Ver.7.1で維持,文脈重視,
情報セキュリティ,セキュリティ管理,Establishing（確立）,改善計画を策定し.目標・手段・スケジュールを定義する段階,改善目標と実施計画をIDEALモデルに沿って記述した,改善方針の明確化／実行可能性の確保,午後,中,Ver.7.1で維持,語句明示,
情報セキュリティ,セキュリティ管理,Acting（実行）,策定した改善計画を実行に移す段階,セキュリティ教育やシステム改修を実施した,計画の実行／改善活動の具体化,午後,中,Ver.7.1で維持,文脈重視,
情報セキュリティ,セキュリティ管理,Learning（学習）,改善結果を評価し.次の改善活動に活かす段階,改善結果を振り返り.次期施策に反映した,継続的改善／PDCAとの連携／知見の蓄積,午後,中,Ver.7.1で維持,文脈重視,
業務改善,業務プロセス,BPR（ビジネスプロセス・リエンジニアリング）,既存の業務ルールや業務構造を抜本的に見直し.再設計する手法,業務フローや情報システムを再構築する改善提案を行った,業務の品質向上／効率化／構造的再編,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
業務改善,業務プロセス,BPM（ビジネスプロセス・マネジメント）,業務プロセスにPDCAサイクルを適用し.継続的に改善を図る管理手法,BPMに基づき業務プロセスの評価と再設計を行った,継続的改善／業務の可視化／PDCAとの連携,午後,中（2年に1回程度）,Ver.7.1で維持,文脈重視,
業務改善,業務プロセス,BPO（ビジネスプロセス・アウトソーシング）,社内業務のうちコア業務以外を外部委託する手法,BPOによりバックオフィス業務を外部業者に委託した,経営資源の集中／業務効率化／コスト削減,午後,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
システム構造,アーキテクチャ,SOA（サービス指向アーキテクチャ）,業務機能を独立したサービスとして構成し.再利用や連携を容易にする設計手法,業務機能をサービス単位で分離し.他システムと連携可能な構成にした,機能の再利用／保守性向上／他システムとの連携性,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
システム構造,アーキテクチャ,ESB（Enterprise Service Bus）,異なるサービスやアプリケーション間の通信を仲介し.統合を容易にするミドルウェア基盤,SOA構成において複数サービスをESB経由で連携させた,疎結合／再利用性向上／サービス統合の効率化,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
クラウドサービス,サービスモデル,SaaS（Software as a Service）,クラウド上で提供されるアプリケーションを利用者が直接利用するサービス形態,Webメールや会計ソフトなどをSaaSとして利用した,インフラ管理不要／即時利用可能／コスト削減,午後,高（毎年1回以上）,Ver.7.1で維持,語句明示,
クラウドサービス,サービスモデル,PaaS（Platform as a Service）,アプリケーション開発・実行環境をクラウド上で提供するサービス形態,PaaS上で業務アプリケーションを開発・運用した,開発環境の即時利用／インフラ管理不要／開発効率化,午後,高（毎年1回以上）,Ver.7.1で維持,語句明示,
クラウドサービス,サービスモデル,IaaS（Infrastructure as a Service）,仮想サーバやストレージなどのインフラをクラウド上で提供するサービス形態,IaaS上でOSやミドルウェアを構築し.業務システムを運用した,柔軟な構成管理／OS制御可能／セキュリティ設定自由度,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
経営戦略,経済性分析,シナジー効果,複数の事業や資源を組み合わせることで.単独よりも大きな成果を得る相乗効果,既存事業のノウハウを新規事業に活用し.両方の成長を促進した,事業間連携／資源活用／相乗効果の創出,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,文脈重視,
経営戦略,経済性分析,規模の経済,生産量や事業規模を拡大することで.単位あたりのコストが低下する現象,大量生産により製品1個あたりの製造コストを削減した,固定費分散／大量仕入れ／スケールメリット,午後,高（毎年1回以上）,Ver.7.1で維持,語句明示,
経営戦略,経済性分析,範囲の経済,複数の事業を同一企業が展開することで.資源の共有やコスト削減が可能となる現象,既存設備やブランドを活用して新規事業を展開した,資源共有／多角化戦略／コスト効率化,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
経営戦略,事業構造,事業ドメイン,企業が展開する事業領域や対象市場.顧客層.提供価値などを定義する概念,事業ドメインを明確化し.新規事業の方向性を示した,経営資源の集中／戦略的意思決定／市場選定の基盤,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
経営戦略,事業構造,CFT分析,事業ドメインを「顧客.機能.技術」の3軸で定義するフレームワーク,CFT分析により事業領域を明確化し.新規事業の方向性を整理した,資源配分の最適化／不要な多角化の回避／戦略的意思決定支援,午後／記述,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
経営戦略,業界構造分析,ファイブフォース分析,業界の収益性を決定する5つの競争要因から業界構造を分析するフレームワーク,業界の魅力度を評価するためにファイブフォース分析を用いた,競争環境の可視化／収益性評価／戦略立案支援,午後／記述,高（毎年1回以上）,Ver.7.1で維持,語句明示,
経営戦略,業界構造分析,売り手の交渉力,供給企業が価格や取引条件に影響を与える力.原材料や部品の供給元との力関係を示す,希少金属の供給元が価格交渉力を持ち.コスト増加の要因となった,コスト構造への影響／供給リスク／価格支配力,午後,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
経営戦略,業界構造分析,買い手の交渉力,顧客が価格や品質に関して企業に要求を行う力.顧客集中や選択肢の多さが影響する,顧客企業の統合により値下げ要求が強まり.収益性が低下した,価格圧力／顧客集中リスク／収益性低下要因,午後／記述,高（毎年1回以上）,Ver.7.1で維持,文脈重視,
経営戦略,業界構造分析,新規参入の脅威,新たな競合が市場に参入することで既存企業のシェアや価格競争に影響を与える要因,外資系企業の参入により市場競争が激化した,参入障壁／価格競争激化／シェア喪失リスク,午後,中（2〜3年に1回）,Ver.7.1で維持,語句明示,
経営戦略,業界構造分析,代替品の脅威,他業界や他製品によって自社製品の需要が奪われる可能性.機能や価格の代替性が影響する,定食屋に対するファストフードや喫茶店の代替脅威を分析した,需要喪失／価格競争／差別化戦略の必要性,午後,中（2〜3年に1回）,Ver.7.1で維持,文脈重視,
経営戦略,業界構造分析,競争業者間の敵対関係,同業他社との直接的な競争状況.価格.品質.サービスなどで差別化を図る必要性,同業他社との値下げ競争により利益率が低下した,差別化戦略／競争優位性の確保／業界構造理解,午後／記述,高（毎年1回以上）,Ver.7.1で維持,文脈重視,
